id;cliente_id;accion_id;codigo_accion;operacion;precio;cantidad;fecha_operacion;modo;operacion_exitosa;operacion_observaciones;ejecutada;reportada
1;29619;61443;neural Tajikistan;Pound;5996;65212;2023-11-12T13:17:53;calculate Loan markets;true;Exclusivo Account;false;true
2;68679;44088;Humano SQL Joyería;Bricolaje;79960;92512;2023-11-12T15:14:50;HDD Coche;true;implementación compressing y;true;true
3;78704;96218;Pequeño colaboración Auto;Distrito;20596;52118;2023-11-12T12:40:04;Bebes;true;División International;true;true
4;58034;39401;copying Belice moderador;Metal sistémica;76057;88891;2023-11-12T06:29:22;Japón;false;neural;false;true
5;67614;96792;program e-services Seguro;Productor Tunez Madera;64011;47820;2023-11-11T23:29:48;Funcionario Jefe;false;revolutionize;true;true
6;21004;13651;monetize;compressing Planificador;5015;65707;2023-11-11T19:11:30;deposit Decoración Ladrillo;false;Metal;false;true
7;10247;71886;redundant;Pelota Buckinghamshire;75086;3620;2023-11-12T07:54:59;models;false;Bebes Arrabal;true;false
8;13670;12427;Arrabal Gerente bluetooth;Asistente Clonado;4732;74332;2023-11-12T14:46:14;Cambridgeshire Camiseta holistic;true;Entrada;false;true
9;61646;78306;1080p Bloque SAS;Investment;86156;57074;2023-11-12T11:30:56;system leverage back-end;false;reboot;true;false
10;52802;19852;Gerente Coche;Hormigon;28239;28085;2023-11-12T13:01:22;Ingeniería;false;Pelota;true;false
